iter	Passed	Remaining
0	59	59582
1	60	30016
2	60	20146
3	61	15206
4	61	12220
5	61	10239
6	62	8821
7	62	7761
8	62	6929
9	63	6272
10	63	5726
11	64	5275
12	64	4903
13	64	4571
14	65	4302
15	65	4047
16	66	3851
17	66	3650
18	67	3471
19	67	3323
20	68	3181
21	68	3048
22	69	2936
23	69	2826
24	69	2723
25	70	2627
26	70	2542
27	71	2465
28	71	2397
29	72	2335
30	72	2267
31	73	2208
32	73	2154
33	73	2098
34	74	2049
35	74	1999
36	75	1959
37	75	1920
38	76	1880
39	76	1845
40	77	1808
41	77	1773
42	78	1741
43	78	1710
44	79	1678
45	79	1649
46	80	1625
47	80	1599
48	81	1573
49	81	1554
50	82	1532
51	82	1508
52	83	1484
53	83	1463
54	84	1444
55	84	1426
56	84	1405
57	85	1385
58	85	1371
59	86	1352
60	86	1335
61	87	1318
62	87	1307
63	88	1296
64	89	1280
65	89	1264
66	89	1249
67	90	1236
68	90	1225
69	91	1210
70	91	1200
71	92	1188
72	92	1175
73	93	1164
74	93	1151
75	93	1139
76	94	1127
77	94	1115
78	94	1103
79	95	1095
80	95	1086
81	96	1077
82	96	1064
83	96	1054
84	97	1044
85	97	1036
86	97	1027
87	98	1017
88	98	1011
89	99	1002
90	99	994
91	100	986
92	100	978
93	101	974
94	101	965
95	101	957
96	102	951
97	102	946
98	103	938
99	103	933
100	104	927
101	104	920
102	105	915
103	105	909
104	106	904
105	106	899
106	107	893
107	107	886
108	107	880
109	108	875
110	108	869
111	108	863
112	109	856
113	109	852
114	110	846
115	111	847
116	111	843
117	112	840
118	112	834
119	113	830
120	113	825
121	114	821
122	114	816
123	115	813
124	115	809
125	116	805
126	116	800
127	117	797
128	118	798
129	118	794
130	119	792
131	119	787
132	120	783
133	120	778
134	120	774
135	121	770
136	121	766
137	122	762
138	122	757
139	122	753
140	122	749
141	123	743
142	123	739
143	123	735
144	123	730
145	124	726
146	124	722
147	125	720
148	125	716
149	125	713
150	126	710
151	126	707
152	127	704
153	127	701
154	127	697
155	128	694
156	128	690
157	129	688
158	129	685
159	130	682
160	130	679
161	130	677
162	131	675
163	132	673
164	132	670
165	133	669
166	134	669
167	135	670
168	135	667
169	136	665
170	136	662
171	137	660
172	138	659
173	138	657
174	138	654
175	139	651
176	139	649
177	140	647
178	140	645
179	141	642
180	141	640
181	142	638
182	142	636
183	143	634
184	143	632
185	144	630
186	144	627
187	145	630
188	146	627
189	146	624
190	147	623
191	147	621
192	147	618
193	148	616
194	149	617
195	150	617
196	151	616
197	151	613
198	151	611
199	152	609
200	152	606
201	152	603
202	153	601
203	153	598
204	153	596
205	154	594
206	154	591
207	154	590
208	155	588
209	155	586
210	156	584
211	156	583
212	157	582
213	157	580
214	158	578
215	158	576
216	159	574
217	159	572
218	159	570
219	160	568
220	160	566
221	161	564
222	161	562
223	162	561
224	162	560
225	163	558
226	163	556
227	164	556
228	164	554
229	165	553
230	165	551
231	166	549
232	166	548
233	166	546
234	167	544
235	167	542
236	168	541
237	168	539
238	168	537
239	169	536
240	169	534
241	170	532
242	170	531
243	170	529
244	171	528
245	171	526
246	172	524
247	172	523
248	173	522
249	173	520
250	174	519
251	174	517
252	174	516
253	175	515
254	175	513
255	176	512
256	176	510
257	177	509
258	177	507
259	178	506
260	178	506
261	179	504
262	179	503
263	180	501
264	180	500
265	181	499
266	181	498
